class;max_force;average_force;force_time0;force_time1;force_time2;force_time3;force_time4;average_speed;speed_time0;speed_time1;speed_time2;speed_time3;speed_time4;distance_time0;distance_time1;distance_time2;distance_time3;distance_time4
0;122,84687;22,382921;0,22362;0,397784;64,290512;0;0;0,020495;0,025616;0,025241;0,027284;0;0;0,007659;0,020162;0,031536;0;0
0;111,282178;15,071852;0,322519;0,46463;25,194736;0;0;0,021211;0,025512;0,025484;0,020562;0;0;0,007621;0,020145;0,032213;0;0
0;118,214699;22,837958;0,227511;0,458287;48,605589;0;0;0,020471;0,024952;0,025598;0,024499;0;0;0,007667;0,020128;0,031752;0;0
0;107,107099;14,382983;0,618672;0,385594;5,977689;0;0;0,021507;0,024986;0,024842;0,025531;0;0;0,007659;0,020143;0,03264;0;0
0;82,491293;16,05762;0,206363;0,189288;6,999328;79,367649;0;0,022294;0,026288;0,02564;0,025242;0,037061;0;0,007669;0,020147;0,032679;0,044346;0
0;69,003039;17,98468;0,307927;0,255805;4,18856;65,865722;0;0,02241;0,025755;0,025711;0,025085;0,038828;0;0,007647;0,020142;0,032662;0,044711;0
0;92,005522;22,008099;0,647917;0,479172;7,707143;91,682759;0;0,022485;0,024675;0,025482;0,025656;0,033597;0;0,007712;0,020152;0,032637;0,044124;0
0;86,327712;21,326518;0,281507;0,707938;7,702228;86,327712;0;0,022373;0,025397;0,024555;0,026851;0,032811;0;0,007479;0,019976;0,032436;0,044006;0
0;80,629456;20,648193;0,621497;0,147764;6,39697;71,627759;0;0,022435;0,025456;0,024964;0,026115;0,038325;0;0,007652;0,020156;0,032675;0,044498;0
0;23,145074;3,609598;0,432847;0,406433;7,3732;0;0;0,021026;0,024772;0,024534;0,02643;0;0;0,007671;0,02015;0,03266;0;0
0;58,051111;6,611188;0,448697;0,131148;7,006904;0;0;0,021294;0,025152;0,024877;0,026579;0;0;0,007644;0,020146;0,032667;0;0
0;78,663851;10,172256;0,829635;0,678551;7,297659;78,663851;0;0,0218;0,025052;0,024957;0,026291;0,015568;0;0,007647;0,020145;0,032624;0,043115;0
0;78,113505;11,478404;0,216108;0,368734;5,654259;77,80871;0;0,021987;0,025446;0,02535;0,026702;0,028125;0;0,007643;0,020141;0,032641;0,044164;0
0;87,523121;14,50919;0,267858;0,246537;6,14428;85,87529;0;0,022148;0,025009;0,024949;0,026598;0,035921;0;0,007657;0,02011;0,032645;0,044253;0
0;89,402326;25,666153;0,381616;0,622477;6,883376;87,926966;73,462326;0,022581;0,024827;0,02507;0,026838;0,034901;0,015787;0,007651;0,020113;0,032635;0,0442;0,057267
0;87,190788;23,86808;0,105587;0,31609;7,548447;87,105798;70,239488;0,022566;0,024832;0,024742;0,025772;0,035195;0,00958;0,007664;0,020146;0,032669;0,04425;0,056767
0;84,667841;22,698391;0,224009;0,569712;7,365639;83,083817;60,860159;0,022546;0,024595;0,025031;0,026696;0,036129;0,002974;0,007672;0,020152;0,03266;0,044311;0,056174
0;82,635688;22,275761;0,123835;0,225307;7,348634;82,186339;61,954128;0,022524;0,025426;0,024729;0,026503;0,036483;0,003101;0,007649;0,020135;0,032682;0,044349;0,056085
0;88,470379;23,867763;0,189253;0,366948;7,726519;85,883757;64,609258;0,022584;0,024884;0,024922;0,025673;0,03524;0,006005;0,007654;0,020123;0,032641;0,044265;0,056165
0;1,09311;0,508391;0,495194;0,514283;0,801572;0,568127;0,748899;0,02253;0,025462;0,025506;0,024261;0,025389;0,025584;0,0077;0,020153;0,032723;0,045153;0,057688
0;1,142556;0,389475;0,376802;0,387784;0,53378;0,189385;0,353634;0,02253;0,025661;0,025629;0,024416;0,026035;0,025615;0,00766;0,02018;0,0327;0,045146;0,057677
0;1,031647;0,387597;0,284324;0,128352;0,324051;0,559995;0,415634;0,022527;0,025655;0,025819;0,024376;0,025843;0,025743;0,007654;0,020178;0,032719;0,045126;0,057686
0;1,261744;0,503926;0,481467;0,40543;0,409698;0,476302;0,771602;0,022532;0,026079;0,025606;0,024242;0,025174;0,025763;0,007667;0,020153;0,032711;0,045161;0,0577
0;0,926169;0,349686;0,228319;0,155543;0,321434;0,274557;0,464038;0,022535;0,025882;0,025871;0,02424;0,025381;0,025801;0,007622;0,020126;0,032666;0,045126;0,057634
0;0,936863;0,429141;0,723728;0,373014;0,23881;0,540599;0,202022;0;0;0;0;0;0;0,000006;0,000018;0,00004;0,000076;0,000095
0;0,997861;0,57434;0,638797;0,575787;0,603255;0,555078;0,481873;0;0;0;0;0;0;0,000018;0,000025;0,000051;0,000077;0,000096
0;0,881449;0,366221;0,410895;0,225162;0,464339;0,325393;0,430393;0;0;0;0;0;0;0,000015;0,000033;0,000053;0,000066;0,000095
0;0,908015;0,557836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0,529936;0,529936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
